municipio_cod,municipio_fato,data_fato,mes,ano,natureza_delito,tentado_consumado,qtde_vitimas
313420,ITUIUTABA,2014-01-01,1,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-01-01,1,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,5
313420,ITUIUTABA,2014-01-02,1,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-01-02,1,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,1
313420,ITUIUTABA,2014-01-03,1,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-01-04,1,2014,LESAO CORPORAL,CONSUMADO,1
313420,ITUIUTABA,2014-01-04,1,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,3
313420,ITUIUTABA,2014-01-05,1,2014,AMEACA,CONSUMADO,2
313420,ITUIUTABA,2014-01-05,1,2014,LESAO CORPORAL,CONSUMADO,1
313420,ITUIUTABA,2014-01-06,1,2014,AMEACA,CONSUMADO,2
313420,ITUIUTABA,2014-01-06,1,2014,HOMICIDIO,TENTADO,1
313420,ITUIUTABA,2014-01-06,1,2014,LESAO CORPORAL,CONSUMADO,1
313420,ITUIUTABA,2014-01-09,1,2014,AMEACA,CONSUMADO,2
313420,ITUIUTABA,2014-01-09,1,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,1
313420,ITUIUTABA,2014-01-11,1,2014,DESOBEDIENCIA,CONSUMADO,1
313420,ITUIUTABA,2014-01-12,1,2014,DANO,CONSUMADO,1
313420,ITUIUTABA,2014-01-12,1,2014,LESAO CORPORAL,CONSUMADO,2
313420,ITUIUTABA,2014-01-12,1,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,1
313420,ITUIUTABA,2014-01-13,1,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-01-13,1,2014,LESAO CORPORAL,CONSUMADO,1
313420,ITUIUTABA,2014-01-14,1,2014,MAUS TRATOS,CONSUMADO,1
313420,ITUIUTABA,2014-01-16,1,2014,ABUSO DE INCAPAZES,CONSUMADO,1
313420,ITUIUTABA,2014-01-17,1,2014,AMEACA,CONSUMADO,2
313420,ITUIUTABA,2014-01-17,1,2014,DANO,CONSUMADO,1
313420,ITUIUTABA,2014-01-17,1,2014,ESTUPRO DE VULNERAVEL,CONSUMADO,1
313420,ITUIUTABA,2014-01-18,1,2014,INJURIA,CONSUMADO,1
313420,ITUIUTABA,2014-01-18,1,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,2
313420,ITUIUTABA,2014-01-19,1,2014,LESAO CORPORAL,CONSUMADO,2
313420,ITUIUTABA,2014-01-20,1,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,1
313420,ITUIUTABA,2014-01-23,1,2014,LESAO CORPORAL,CONSUMADO,1
313420,ITUIUTABA,2014-01-24,1,2014,LESAO CORPORAL,CONSUMADO,1
313420,ITUIUTABA,2014-01-25,1,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,1
313420,ITUIUTABA,2014-01-26,1,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-01-26,1,2014,LESAO CORPORAL,CONSUMADO,3
313420,ITUIUTABA,2014-01-27,1,2014,OUTRAS ACOES DEFESA SOCIAL,CONSUMADO,1
313420,ITUIUTABA,2014-01-27,1,2014,OUTROS INFRACOES C/ A PESSOA,CONSUMADO,1
313420,ITUIUTABA,2014-01-27,1,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,1
313420,ITUIUTABA,2014-01-28,1,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-01-28,1,2014,FURTO,CONSUMADO,1
313420,ITUIUTABA,2014-01-29,1,2014,AMEACA,CONSUMADO,3
313420,ITUIUTABA,2014-01-30,1,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-01-30,1,2014,ATRITO VERBAL,CONSUMADO,1
313420,ITUIUTABA,2014-01-30,1,2014,FURTO,CONSUMADO,1
313420,ITUIUTABA,2014-01-31,1,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-01,2,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-02,2,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-02,2,2014,OUTROS INFRACOES C/ A PESSOA,CONSUMADO,1
313420,ITUIUTABA,2014-02-02,2,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,1
313420,ITUIUTABA,2014-02-03,2,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-04,2,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-06,2,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-06,2,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,1
313420,ITUIUTABA,2014-02-07,2,2014,AMEACA,CONSUMADO,3
313420,ITUIUTABA,2014-02-07,2,2014,OUTROS INFRACOES C/ A PESSOA,CONSUMADO,1
313420,ITUIUTABA,2014-02-08,2,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-08,2,2014,LESAO CORPORAL,CONSUMADO,1
313420,ITUIUTABA,2014-02-08,2,2014,OUTRAS ACOES DEFESA SOCIAL,CONSUMADO,1
313420,ITUIUTABA,2014-02-09,2,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,1
313420,ITUIUTABA,2014-02-10,2,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-10,2,2014,DESOBEDIENCIA,CONSUMADO,1
313420,ITUIUTABA,2014-02-10,2,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,2
313420,ITUIUTABA,2014-02-11,2,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-12,2,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-14,2,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-14,2,2014,LESAO CORPORAL,CONSUMADO,2
313420,ITUIUTABA,2014-02-14,2,2014,VIAS DE FATO / AGRESSAO,CONSUMADO,1
313420,ITUIUTABA,2014-02-15,2,2014,AMEACA,CONSUMADO,1
313420,ITUIUTABA,2014-02-15,2,2014,LESAO CORPORAL,CONSUMADO,1
313420,ITUIUTABA,2014-02-16,2,2014,AMEACA,CONSUMADO,2
