ano,ABANDONO DE INCAPAZ,ABANDONO MATERIAL,ABUSO DE INCAPAZES,ACIDENTE DE TRANSITO COM VITIMA,ALTERACAO DE LIMITES,AMEACA,APROPRIACAO INDEBITA DE COISA ALHEIA MOVEL,ASSEDIO SEXUAL,ATEND. DENUNCIA DE INFRACOES CONTRA CRIANCAS E ADO,ATEND. DENUNCIA INFRACOES CONTRA MULHER(VIOLENCIA,ATEND. DENUNCIA INFRACOES CONTRA MULHER(VIOLENCIA DOMESTICA),ATENDIMENTO DE DENUNCIA DE INFRACOES CONTRA OS IDOSOS,ATRITO VERBAL,AUTO EXTERMINIO (SUICIDIO),AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA,CALUNIA,COACAO NO CURSO DO PROCESSO,COMUNICACAO FALSA DE CRIME/CONTRAVENCAO,CONDUZIR VEICULO SOB INFLUENCIA DE ALCOOL/SUBST. P,CONSTRANGE/VEXAME MENOR DE IDADE SOB GUARDA,CONSTRANGIMENTO ILEGAL,CORRUPCAO DE MENORES PARA PRATICA DE CRIME,"CUMPRIMENTO DE BUSCA E APREENSAO DE OBJETOS, PES ..",CUMPRIMENTO DE PRISAO,DANO,DESACATO,DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA,DESOBEDECE ORDEM JUDICIAL (PERDA/SUS DIREITO),DESOBEDIENCIA,DIFAMACAO,DISPARO DE ARMA DE FOGO/ACIONAM DE MUNICAO,"DIVULGACAO CENA ESTUPRO E IMAGEM NUDEZ, SEXO OU PO","DIVULGACAO CENA ESTUPRO E IMAGEM NUDEZ, SEXO OU PORNOGRAFIA",ENCONTRO DE CADAVER,ESTELIONATO,ESTUPRO,ESTUPRO DE VULNERAVEL,EXERCICIO ARBITRARIO DAS PROPRIAS RAZOES,EXPOE A PERIGO/ PRIVA DE COMIDA/CUIDADO IDOSO,EXTORSAO,FALSIDADE IDEOLOGICA,FORNECE PRODUTO CAUSA DEPENDE/FISICA MENOR I.,FURTO,FURTO DE COISA COMUM,HOMICIDIO,IMPEDE/RECUSA/NAO ASSISTE A SAUDE DO IDOSO,IMPORTUNACAO SEXUAL,INCENDIO,INJURIA,INJURIA RACIAL,INVASAO DE DISPOSITIVO INFORMATICO,INVÁLIDO,LESAO CORPORAL,MAUS TRATOS,MOEDA FALSA,OMISSAO DE SOCORRO,OUTRAS ACOES DEFESA SOCIAL,OUTRAS ATENDIMENTOS DE DENUNCIAS DE FATOS DE SEGUR,OUTRAS INFRACOES CONTRA DIGNIDADE SEXUAL E A FAMIL,OUTRAS INFRACOES CONTRA DIGNIDADE SEXUAL E A FAMILIA,OUTRAS INFRACOES CONTRA O PATRIMONIO,OUTRAS INFRACOES DEMAIS LEIS ESPECIAIS,OUTROS INFRACOES C/ A PESSOA,PERIGO DE CONTAGIO VENEREO,PERSEGUICAO,PERTURBACAO DA TRANQUILIDADE,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,PORTE ILEGAL ARMA DE FOGO/ACESSÓRIO/MUNIÇÃO DE USO,PORTE ILEGAL ARMA DE FOGO/ACESSÓRIO/MUNIÇÃO DE USO PERMITIDO,POSSE ILEGAL ARMA DE FOGO/ACESSÓRIO/MUNIÇÃO DE USO,POSSE/PORTE ILEGAL ARMA FOGO/MUNIC/ACESSO USO PROI,POSSE/PORTE ILEGAL ARMA FOGO/MUNIC/ACESSO USO PROIB/RESTRITO,PRATICAR DANO,RECEPTACAO,RECUSA/DIFICULTA/NAO ASSISTE IDOSO,REGISTRO NAO AUTORIZADO DA INTIMIDADE SEXUAL,REMOCAO DE CADAVER EM LOCAL DE CRIME OU ACIDENTE,RESISTENCIA,ROUBO,SEQUESTRO E CARCERE PRIVADO,SERVIR BEBIDA ALCOOLICA MENOR/INCAPAZ/OUTRO,SUBTRACAO DE INCAPAZES,TRAFICO ILICITO DE DROGAS,USO E CONSUMO DE DROGAS,VEICULO LOCALIZADO / RECUPERADO,VIAS DE FATO / AGRESSAO,VIOLACAO DE DOMICILIO,VIOLENCIA PSICOLOGICA,VISITA TRANQUILIZADORA A VITIMA DE VIOLENCIA DOMES
2014,2,0,3,0,0,186,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,4,1,0,0,0,0,2,1,5,1,0,1,1,1,9,0,4,0,0,0,4,0,0,1,126,2,0,1,10,0,1,0,3,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,111,0,0,0
2015,4,0,0,0,0,141,0,0,0,1,0,0,3,2,0,3,0,0,1,0,0,0,0,2,17,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,8,1,1,0,0,0,2,0,0,0,114,1,1,1,3,0,3,0,1,1,13,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,99,1,0,0
2016,4,0,1,0,0,147,2,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,2,12,1,0,1,0,4,2,0,0,0,0,0,6,0,0,1,0,0,7,0,1,0,0,1,5,0,0,0,98,8,0,0,2,0,5,0,3,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,86,1,0,0
2017,5,0,1,1,0,156,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0,2,0,0,0,0,2,3,7,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,117,4,0,0,4,0,6,0,0,0,14,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,3,0,0
2018,1,0,1,0,0,160,1,0,0,6,0,0,3,1,0,3,0,1,0,0,0,0,0,1,13,0,0,6,0,6,0,0,0,0,5,1,4,0,0,0,0,0,12,0,0,0,0,3,2,0,0,0,110,4,0,0,9,0,3,0,2,4,7,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,91,1,0,0
2019,1,0,2,0,0,168,4,1,0,10,0,0,2,0,0,4,0,0,0,0,0,0,0,0,5,0,5,3,1,1,0,0,0,0,2,2,1,0,0,0,0,0,10,0,2,0,0,1,2,0,0,0,103,2,0,0,10,1,5,0,4,1,14,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,78,1,0,8
2020,3,0,0,1,0,140,2,0,0,1,0,0,1,0,1,7,0,0,0,1,0,0,0,0,15,0,12,1,2,10,0,3,0,0,2,3,5,0,2,0,0,0,7,0,1,0,2,0,5,0,0,1,100,1,0,0,15,0,3,0,3,1,12,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,92,2,0,0
2021,2,0,0,2,0,158,2,0,3,10,0,0,10,0,0,2,0,0,0,0,0,0,0,0,12,0,9,1,0,5,2,0,0,0,1,3,2,0,0,1,0,0,5,0,3,0,0,1,2,0,0,0,87,0,0,0,17,0,6,0,3,1,5,0,1,7,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,96,2,0,0
2022,1,0,0,0,0,148,2,0,0,21,0,0,1,0,0,3,0,0,1,0,1,0,0,0,13,0,11,2,0,3,0,0,0,0,2,0,6,0,0,0,0,0,7,0,0,0,1,0,2,0,0,0,81,2,0,0,18,0,11,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,85,1,2,0
2023,1,1,0,0,0,82,1,0,0,15,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,13,1,0,3,0,0,0,0,3,1,4,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,60,1,0,0,8,0,6,0,2,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,30,0,2,0
2024,4,0,1,0,1,136,2,0,0,0,33,1,2,0,0,2,0,0,0,0,0,1,0,0,16,0,21,0,0,1,0,0,1,1,4,0,4,1,0,0,0,0,4,0,0,1,2,1,5,1,0,0,93,2,0,0,10,0,0,1,3,3,15,0,8,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,79,2,1,0
